order_id,price,review_score,delivery_time_days,customer_state,payment_type,product_category,seller_lat,seller_lon,cust_lat,cust_lon
00143d0f86d6fbd9f9b38ab440ac16f5,21.33,,11,GO,credit_card,sports_leisure,-23.497316500688544,-47.50160216407423,-16.632315440775848,-49.25827955043824
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
1b15974a0141d54e36626dca3fdc731a,100.0,1.0,11,SP,boleto,computers_accessories,-23.246680687314196,-45.88690913568321,-23.529824605935826,-46.618173551632395
0148d3df00cebda592d4e5f966e300cc,5.53,1.0,,SP,credit_card,housewares,-23.08550507419915,-46.959540960670545,-23.606183740840493,-46.65931170929814
03caa2c082116e1d31e67e9ae3700499,1680.0,1.0,18,RJ,credit_card,fixed_telephony,-23.53130694915166,-46.49479455810048,-22.901209379401642,-43.18495724281751
03caa2c082116e1d31e67e9ae3700499,1680.0,1.0,18,RJ,credit_card,fixed_telephony,-23.53130694915166,-46.49479455810048,-22.901209379401642,-43.18495724281751
8272b63d03f5f79c56e9e4120aec44ef,7.8,1.0,15,SP,credit_card,health_beauty,-23.488234128266228,-46.469989005431984,-23.68074255327327,-46.784224275181245
00526a9d4ebde463baee25f386963ddc,33.89,1.0,9,SP,credit_card,food,-23.584873378842612,-46.54140042451633,-23.5536940974993,-46.37892772018167
03aba68b07658f28f29612641f08d4ba,170.0,4.0,13,RS,credit_card,telephony,-12.893166748087062,-38.33787462509414,-29.99999504325933,-51.09626345835989
00010242fe8c5a6d1ba2dd792cb16214,58.9,5.0,7,RJ,credit_card,cool_stuff,-22.496952789883668,-44.127492009916175,-21.762775347060224,-41.309632695240964
0008288aa423d2a3f00fcb17cd7d8719,49.9,5.0,13,SP,boleto,garden_tools,-20.806706931018404,-49.38916453524921,-23.532353831613676,-46.90135228978099
